id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
HNRNPH1control	72	1.2397e-35	1.147e-06	8.1e-05	1	72	-2.1377	1.0	1.0	0.999999	4311	0	-2.1377
CPSF6control	72	1.2461e-30	1.147e-06	8.1e-05	2	70	-0.98353	1.0	1.0	0.999999	4314	0	-0.98353
controlPABPN1	72	5.7472e-29	1.147e-06	8.1e-05	3	71	-1.907	1.0	1.0	0.999999	4312	1	-1.907
NCBP1control	72	3.6183e-27	1.147e-06	8.1e-05	4	48	-1.7563	0.95446	0.99943	0.999999	3100	19	-1.7563
CNOT7control	72	1.098e-26	1.147e-06	8.1e-05	5	71	-0.91819	1.0	1.0	0.999999	4310	0	-0.91819
controlNCBP1	72	4.3933e-25	1.147e-06	8.1e-05	6	49	-1.8163	0.24794	0.73988	0.999999	1713	22	-1.8163
SRSF11control	72	1.5426e-23	1.147e-06	8.1e-05	7	67	-0.92475	1.0	1.0	0.999999	4309	1	-0.92475
NUDT21control	72	1.8688e-23	1.147e-06	8.1e-05	8	69	-0.93859	1.0	1.0	0.999999	4315	0	-0.93859
controlTRA2B	72	6.1265e-23	1.147e-06	8.1e-05	9	69	-1.2916	1.0	1.0	0.999999	4313	0	-1.2916
FIP1L1control	72	9.7101e-23	1.147e-06	8.1e-05	10	68	-0.59787	1.0	1.0	0.999999	4316	0	-0.59787
controlSMG1	72	2.5988e-19	1.147e-06	8.1e-05	11	63	-1.3916	1.0	1.0	0.999999	4307	3	-1.3916
controlHNRNPA1	72	5.5544e-15	1.147e-06	8.1e-05	12	62	-0.9267	1.0	1.0	0.999999	4308	4	-0.9267
controlEXOSC2	72	1.4351e-12	1.147e-06	8.1e-05	13	59	-0.8032	1.0	1.0	0.999999	4300	7	-0.8032
CDK12control	72	3.6562e-12	1.147e-06	8.1e-05	14	58	-0.41375	0.99998	1.0	0.999999	4139	2	-0.41375
SMN1control	72	1.8313e-11	1.147e-06	8.1e-05	15	58	-0.34208	1.0	1.0	0.999999	4244	6	-0.34208
CNOT7HNRNPC	9	4.8411e-10	1.147e-06	8.1e-05	16	9	-1.9244	1.0	1.0	0.999999	4306	0	-1.9244
NCBP1RBM27	9	1.4824e-09	1.147e-06	8.1e-05	17	6	-1.7606	0.6886	0.88255	0.999999	2459	3	-1.7606
CPSF6EXOSC8	9	1.9457e-09	1.147e-06	8.1e-05	18	9	-1.4949	1.0	1.0	0.999999	4295	0	-1.4949
HNRNPH1ZCCHC8	9	2.1149e-09	1.147e-06	8.1e-05	19	9	-2.2832	1.0	1.0	0.999999	4288	0	-2.2832
NCBP1EXOSC9	9	2.1768e-09	1.147e-06	8.1e-05	20	7	-0.35527	0.95814	0.98275	0.999999	3133	2	-0.35527
CPSF6THOC2	9	2.2507e-09	1.147e-06	8.1e-05	21	9	-1.27	1.0	1.0	0.999999	4294	0	-1.27
controlSF3B1	72	2.3313e-09	1.147e-06	8.1e-05	22	48	-1.1194	0.9952	0.99998	0.999999	3440	21	-1.1194
CPSF6EXOSC2	9	3.2667e-09	1.147e-06	8.1e-05	23	9	-1.3998	1.0	1.0	0.999999	4305	0	-1.3998
CPSF6SKIV2L2	9	3.719e-09	1.147e-06	8.1e-05	24	9	-1.1462	1.0	1.0	0.999999	4304	0	-1.1462
FIP1L1MDM2	9	3.9239e-09	1.147e-06	8.1e-05	25	9	-1.0192	1.0	1.0	0.999999	4303	0	-1.0192
HNRNPH1RBM27	9	4.5345e-09	1.147e-06	8.1e-05	26	9	-1.9244	1.0	1.0	0.999999	4302	0	-1.9244
controlHNRNPC	72	5.8891e-09	1.147e-06	8.1e-05	27	49	-0.6629	0.93189	0.99887	0.999999	3003	21	-0.6629
CNOT7EXOSC2	9	7.0958e-09	1.147e-06	8.1e-05	28	9	-1.8209	1.0	1.0	0.999999	4301	0	-1.8209
HNRNPH1SKIV2L2	9	1.6816e-08	1.147e-06	8.1e-05	29	9	-2.1502	1.0	1.0	0.999999	4299	0	-2.1502
CNOT7DIS3L	9	1.801e-08	1.147e-06	8.1e-05	30	9	-1.3037	1.0	1.0	0.999999	4254	0	-1.3037
HNRNPH1MDM2	9	1.9864e-08	1.147e-06	8.1e-05	31	9	-2.7946	1.0	1.0	0.999999	4298	0	-2.7946
CPSF6SRRT	9	2.0353e-08	1.147e-06	8.1e-05	32	9	-1.223	1.0	1.0	0.999999	4297	0	-1.223
CPSF6MDM2	9	2.0574e-08	1.147e-06	8.1e-05	33	9	-1.3155	1.0	1.0	0.999999	4296	0	-1.3155
CNOT7SKIV2L2	9	2.6692e-08	1.147e-06	8.1e-05	34	9	-1.4597	1.0	1.0	0.999999	4293	0	-1.4597
WDR33control	72	3.3563e-08	1.147e-06	8.1e-05	35	49	-0.55011	0.67113	0.97312	0.999999	2435	20	-0.55011
NCBP1SKIV2L2	9	3.3828e-08	1.147e-06	8.1e-05	36	8	-1.8728	0.99606	0.99592	0.999999	3482	0	-1.8728
SMN1EXOSC2	9	3.3941e-08	1.147e-06	8.1e-05	37	9	-1.4273	1.0	1.0	0.999999	4292	0	-1.4273
HNRNPH1EXOSC1	9	3.4949e-08	1.147e-06	8.1e-05	38	9	-1.9802	1.0	1.0	0.999999	4291	0	-1.9802
FIP1L1EXOSC8	9	4.6198e-08	1.147e-06	8.1e-05	39	9	-0.97589	1.0	1.0	0.999999	4261	0	-0.97589
NCBP1EXOSC2	9	5.753e-08	1.147e-06	8.1e-05	40	9	-2.3646	0.99989	0.99988	0.999999	3929	0	-2.3646
HNRNPH1C17orf85	9	6.9235e-08	1.147e-06	8.1e-05	41	9	-2.3407	1.0	1.0	0.999999	4290	0	-2.3407
CNOT7PTBP1	9	7.1972e-08	1.147e-06	8.1e-05	42	9	-1.7189	1.0	1.0	0.999999	4289	0	-1.7189
SRSF11EXOSC1	9	7.5338e-08	1.147e-06	8.1e-05	43	9	-1.1602	0.99997	0.99996	0.999999	4099	0	-1.1602
CPSF6SMG1	9	8.9316e-08	1.147e-06	8.1e-05	44	8	-1.833	0.99937	0.99937	0.999999	3743	0	-1.833
HNRNPH1ZC3H3	9	9.9473e-08	1.147e-06	8.1e-05	45	9	-1.7546	1.0	1.0	0.999999	4286	0	-1.7546
HNRNPH1BRCA2	9	9.9585e-08	1.147e-06	8.1e-05	46	9	-1.8789	1.0	1.0	0.999999	4285	0	-1.8789
CPSF6C17orf85	9	9.9772e-08	1.147e-06	8.1e-05	47	9	-1.193	1.0	1.0	0.999999	4242	0	-1.193
NUDT21RBM27	9	1.0812e-07	1.147e-06	8.1e-05	48	9	-0.79902	1.0	1.0	0.999999	4284	0	-0.79902
HNRNPH1HNRNPC	9	1.1032e-07	1.147e-06	8.1e-05	49	9	-1.8692	1.0	1.0	0.999999	4283	0	-1.8692
CNOT7SRRT	9	1.1677e-07	1.147e-06	8.1e-05	50	9	-1.6368	1.0	1.0	0.999999	4282	0	-1.6368
PAN2SMG1	9	1.2396e-07	1.147e-06	8.1e-05	51	8	-1.7246	0.99902	0.99902	0.999999	3684	0	-1.7246
SRSF11NCBP1	9	1.2531e-07	1.147e-06	8.1e-05	52	9	-1.8868	0.99998	0.99997	0.999999	4122	0	-1.8868
CNOT7MDM2	9	1.3242e-07	1.147e-06	8.1e-05	53	9	-1.5058	1.0	1.0	0.999999	4281	0	-1.5058
HNRNPH1EXOSC4	9	1.4324e-07	1.147e-06	8.1e-05	54	9	-2.5539	1.0	1.0	0.999999	4280	0	-2.5539
HNRNPH1DIS3L	9	1.6303e-07	1.147e-06	8.1e-05	55	9	-2.2217	1.0	1.0	0.999999	4279	0	-2.2217
NUDT21SKIV2L2	9	1.6931e-07	1.147e-06	8.1e-05	56	9	-1.2374	0.99993	0.99992	0.999999	3994	0	-1.2374
AQRcontrol	72	1.7596e-07	5.735e-06	0.000229	57	48	-0.58978	0.60181	0.95741	0.999999	2289	21	-0.58978
HNRNPH1THOC2	9	1.8664e-07	1.147e-06	8.1e-05	58	9	-2.7032	1.0	1.0	0.999999	4257	0	-2.7032
CNOT7NCBP1	9	1.9217e-07	1.147e-06	8.1e-05	59	9	-1.8366	1.0	1.0	0.999999	4278	0	-1.8366
RNASEH2CNCBP1	9	2.2582e-07	1.147e-06	8.1e-05	60	7	-1.7772	0.81636	0.93458	0.999999	2711	2	-1.7772
HNRNPH1RBM7	9	2.4421e-07	1.147e-06	8.1e-05	61	9	-2.3746	1.0	1.0	0.999999	4277	0	-2.3746
NCBP1EXOSC8	9	2.5255e-07	1.147e-06	8.1e-05	62	7	-1.6605	0.99928	0.99927	0.999999	3722	0	-1.6605
NCBP1DCP1A	9	2.6372e-07	2.294e-06	0.000156	63	6	-2.0061	0.72036	0.89503	0.999999	2512	3	-2.0061
NCBP1ZC3H3	9	2.6526e-07	3.441e-06	0.000156	64	6	-1.638	0.59375	0.83125	0.999999	2273	2	-1.638
HNRNPH1EXOSC9	9	3.0719e-07	3.441e-06	0.000156	65	9	-1.8353	1.0	1.0	0.999999	4276	0	-1.8353
NCBP1PAF1	9	3.1689e-07	3.441e-06	0.000156	66	6	-1.7617	0.95091	0.97973	0.999999	3079	2	-1.7617
WDR33EXOSC2	9	3.1967e-07	3.441e-06	0.000156	67	9	-1.2705	0.99999	0.99999	0.999999	4189	0	-1.2705
CNOT7EXOSC8	9	3.2685e-07	3.441e-06	0.000156	68	9	-1.6664	1.0	1.0	0.999999	4272	0	-1.6664
HNRNPH1DCP1A	9	3.2836e-07	3.441e-06	0.000156	69	9	-2.1629	1.0	1.0	0.999999	4275	0	-2.1629
HNRNPH1SMG7	9	3.3095e-07	3.441e-06	0.000156	70	9	-2.1066	1.0	1.0	0.999999	4273	0	-2.1066
HNRNPH1ZC3H18	9	3.3758e-07	3.441e-06	0.000156	71	9	-1.9914	1.0	1.0	0.999999	4274	0	-1.9914
NCBP1THOC2	9	3.4003e-07	3.441e-06	0.000156	72	8	-2.1019	0.92803	0.97184	0.999999	2992	1	-2.1019
NCBP1DIS3L	9	3.468e-07	3.441e-06	0.000156	73	6	-1.9859	0.98046	0.9888	0.999999	3235	1	-1.9859
CPSF3PABPN1	9	3.9482e-07	3.441e-06	0.000156	74	9	-1.7803	1.0	1.0	0.999999	4271	0	-1.7803
FIP1L1EXOSC2	9	4.0489e-07	3.441e-06	0.000156	75	9	-1.2883	1.0	1.0	0.999999	4270	0	-1.2883
NCBP1EXOSC3	9	4.2951e-07	3.441e-06	0.000156	76	6	-2.0299	0.74729	0.90578	0.999999	2567	3	-2.0299
CNOT7THOC5	9	4.3692e-07	3.441e-06	0.000156	77	8	-1.4662	0.98591	0.99031	0.999999	3286	1	-1.4662
WDR33HNRNPC	9	4.4943e-07	3.441e-06	0.000156	78	7	-1.1529	0.99635	0.99621	0.999999	3492	0	-1.1529
CNOT7C17orf85	9	4.7832e-07	3.441e-06	0.000156	79	9	-1.1794	0.99998	0.99997	0.999999	4125	0	-1.1794
NUDT21DIS3L	9	4.7841e-07	3.441e-06	0.000156	80	9	-1.2856	1.0	1.0	0.999999	4269	0	-1.2856
WDR33SMG1	9	5.0495e-07	3.441e-06	0.000156	81	9	-1.8644	1.0	1.0	0.999999	4268	0	-1.8644
CNOT7THOC2	9	5.0508e-07	3.441e-06	0.000156	82	9	-1.4936	0.99999	0.99999	0.999999	4185	0	-1.4936
NCBP1MDM2	9	5.6322e-07	3.441e-06	0.000156	83	7	-1.9056	0.88559	0.96	0.999999	2889	2	-1.9056
NCBP1EXOSC1	9	6.2817e-07	3.441e-06	0.000156	84	7	-1.9274	0.97405	0.9873	0.999999	3197	1	-1.9274
NCBP1UPF3B	9	6.305e-07	3.441e-06	0.000156	85	6	-1.6305	0.91319	0.96722	0.999999	2949	2	-1.6305
CPSF6DIS3L	9	6.4691e-07	3.441e-06	0.000156	86	9	-1.0252	1.0	1.0	0.999999	4267	0	-1.0252
CNOT7EXOSC1	9	7.1595e-07	3.441e-06	0.000156	87	9	-1.5158	1.0	1.0	0.999999	4266	0	-1.5158
SRSF11SRRT	9	7.6736e-07	3.441e-06	0.000156	88	9	-1.0296	0.99973	0.99973	0.999999	3836	0	-1.0296
CPSF6SRSF1	9	8.3218e-07	3.441e-06	0.000156	89	9	-1.1398	1.0	1.0	0.999999	4265	0	-1.1398
HNRNPH1EXOSC3	9	8.3558e-07	3.441e-06	0.000156	90	9	-2.02	0.99991	0.9999	0.999999	3952	0	-2.02
CPSF6ALYREF	9	8.6113e-07	3.441e-06	0.000156	91	9	-1.5731	1.0	0.99999	0.999999	4233	0	-1.5731
CPSF3NCBP1	9	8.8361e-07	3.441e-06	0.000156	92	7	-1.9017	0.93892	0.97546	0.999999	3031	2	-1.9017
NUDT21SRRT	9	8.9278e-07	3.441e-06	0.000156	93	9	-1.2423	1.0	1.0	0.999999	4264	0	-1.2423
HNRNPH1PAF1	9	8.9477e-07	3.441e-06	0.000156	94	9	-2.1936	1.0	0.99999	0.999999	4226	0	-2.1936
HNRNPH1UPF3B	9	9.1196e-07	3.441e-06	0.000156	95	9	-2.0811	1.0	1.0	0.999999	4263	0	-2.0811
CPSF6NCBP1	9	9.7503e-07	3.441e-06	0.000156	96	9	-2.032	1.0	1.0	0.999999	4245	0	-2.032
NUDT21EXOSC8	9	1.0258e-06	5.735e-06	0.000229	97	9	-1.3591	1.0	1.0	0.999999	4246	0	-1.3591
HNRNPH1EXOSC8	9	1.0295e-06	5.735e-06	0.000229	98	9	-1.8655	1.0	1.0	0.999999	4262	0	-1.8655
NCBP1C17orf85	9	1.0966e-06	5.735e-06	0.000229	99	6	-1.8241	0.8083	0.93106	0.999999	2687	3	-1.8241
FIP1L1PTBP1	9	1.1713e-06	5.735e-06	0.000229	100	9	-0.92667	1.0	1.0	0.999999	4260	0	-0.92667
SRSF11EXOSC2	9	1.1896e-06	5.735e-06	0.000229	101	9	-1.3723	1.0	1.0	0.999999	4259	0	-1.3723
CPSF6RBM27	9	1.207e-06	5.735e-06	0.000229	102	9	-0.88284	1.0	1.0	0.999999	4258	0	-0.88284
HNRNPH1EXOSC7	9	1.309e-06	5.735e-06	0.000229	103	9	-2.1126	1.0	1.0	0.999999	4256	0	-2.1126
HNRNPH1PTBP1	9	1.337e-06	5.735e-06	0.000229	104	9	-2.118	1.0	1.0	0.999999	4255	0	-2.118
CPSF6ZC3H18	9	1.3419e-06	5.735e-06	0.000229	105	9	-1.1123	0.99999	0.99999	0.999999	4169	0	-1.1123
CNOT7PAF1	9	1.4197e-06	5.735e-06	0.000229	106	9	-1.1828	1.0	1.0	0.999999	4253	0	-1.1828
CDK19NCBP1	9	1.5033e-06	5.735e-06	0.000229	107	6	-2.0656	0.78616	0.92174	0.999999	2631	3	-2.0656
CPSF6UPF3B	9	1.5185e-06	5.735e-06	0.000229	108	9	-1.0805	1.0	1.0	0.999999	4252	0	-1.0805
CNOT7RBM27	9	1.5907e-06	8.0291e-06	0.000312	109	9	-0.99947	1.0	1.0	0.999999	4251	0	-0.99947
CDK7NCBP1	9	1.6691e-06	8.0291e-06	0.000312	110	7	-1.7875	0.74542	0.90504	0.999999	2561	2	-1.7875
CTIFNCBP1	9	1.6807e-06	8.0291e-06	0.000312	111	6	-1.7279	0.47587	0.75314	0.999999	2080	3	-1.7279
CDK9SMG1	9	1.7239e-06	1.0323e-05	0.000362	112	9	-1.9258	0.99996	0.99996	0.999999	4071	0	-1.9258
SRSF11EXOSC9	9	1.7407e-06	1.0323e-05	0.000362	113	7	-0.78206	0.74487	0.90483	0.999999	2560	2	-0.78206
CPSF6PTBP1	9	1.8295e-06	1.0323e-05	0.000362	114	9	-1.188	0.99999	0.99999	0.999999	4218	0	-1.188
SRSF11C17orf85	9	1.8362e-06	1.0323e-05	0.000362	115	9	-0.8192	1.0	1.0	0.999999	4250	0	-0.8192
HNRNPH1SMG1	9	1.8437e-06	1.0323e-05	0.000362	116	9	-2.1842	1.0	1.0	0.999999	4249	0	-2.1842
CPSF2NCBP1	9	1.8623e-06	1.0323e-05	0.000362	117	8	-1.8664	0.98233	0.98926	0.999999	3255	1	-1.8664
NUDT21SMG1	9	1.9377e-06	1.0323e-05	0.000362	118	9	-1.6333	1.0	1.0	0.999999	4248	0	-1.6333
CNOT7TRA2B	9	2.0377e-06	1.0323e-05	0.000362	119	9	-2.6874	1.0	1.0	0.999999	4247	0	-2.6874
CSTF2TNCBP1	9	2.0643e-06	1.0323e-05	0.000362	120	7	-1.8153	0.81391	0.93351	0.999999	2702	2	-1.8153
SRSF11EXOSC7	9	2.1602e-06	1.0323e-05	0.000362	121	9	-1.0579	0.99999	0.99999	0.999999	4168	0	-1.0579
CNOT7ZC3H18	9	2.2263e-06	1.0323e-05	0.000362	122	9	-0.83846	1.0	1.0	0.999999	4243	0	-0.83846
