id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
FIP1L1control	72	1.4685e-41	1.147e-06	8.7e-05	1	72	-2.4087	1.0	1.0	0.999999	4312	0	-2.4087
CPSF6control	72	4.1067e-40	1.147e-06	8.7e-05	2	72	-3.0424	1.0	1.0	0.999999	4311	0	-3.0424
HNRNPH1control	72	4.0993e-29	1.147e-06	8.7e-05	3	72	-3.6007	1.0	1.0	0.999999	4309	0	-3.6007
WDR33control	72	6.0476e-23	1.147e-06	8.7e-05	4	71	-2.279	1.0	1.0	0.999999	4314	0	-2.279
NCBP1control	72	1.0197e-21	1.147e-06	8.7e-05	5	48	-2.9472	0.67338	0.97428	0.999999	2221	24	-2.9472
controlALYREF	72	4.1101e-21	1.147e-06	8.7e-05	6	70	-0.96931	1.0	1.0	0.999999	4313	0	-0.96931
controlTRA2B	72	1.8333e-20	1.147e-06	8.7e-05	7	69	-1.8818	1.0	1.0	0.999999	4316	0	-1.8818
SMN1control	72	3.8419e-19	1.147e-06	8.7e-05	8	69	-1.2386	1.0	1.0	0.999999	4310	0	-1.2386
controlPABPN1	72	5.1693e-19	1.147e-06	8.7e-05	9	67	-2.6268	1.0	1.0	0.999999	4315	0	-2.6268
RNGTTcontrol	72	5.9524e-18	1.147e-06	8.7e-05	10	48	-2.1158	0.46299	0.90883	0.999999	1910	24	-2.1158
NUDT21control	72	8.2307e-17	1.147e-06	8.7e-05	11	67	-1.5068	1.0	1.0	0.999999	4306	2	-1.5068
controlHNRNPA1	72	2.178e-13	1.147e-06	8.7e-05	12	64	-2.1628	1.0	1.0	0.999999	4307	3	-2.1628
controlNCBP1	72	9.2256e-13	1.147e-06	8.7e-05	13	48	-2.7261	0.0048929	0.055009	0.25447	835	24	-2.7261
controlEXOSC2	72	9.8896e-13	1.147e-06	8.7e-05	14	54	-2.1299	1.0	1.0	0.999999	4291	12	-2.1299
SYMPKcontrol	72	1.0428e-12	1.147e-06	8.7e-05	15	63	-1.5943	1.0	1.0	0.999999	4308	2	-1.5943
CPSF1control	72	1.7532e-12	1.147e-06	8.7e-05	16	63	-0.8844	1.0	1.0	0.999999	4305	4	-0.8844
FIP1L1RBM27	9	4.2658e-11	1.147e-06	8.7e-05	17	9	-2.4375	1.0	1.0	0.999999	4300	0	-2.4375
FIP1L1EXOSC1	9	1.8875e-10	1.147e-06	8.7e-05	18	9	-2.8433	1.0	1.0	0.999999	4298	0	-2.8433
controlMDM2	72	2.1503e-10	1.147e-06	8.7e-05	19	60	-0.71996	1.0	1.0	0.999999	4303	4	-0.71996
CPSF6EXOSC1	9	2.8513e-10	1.147e-06	8.7e-05	20	9	-3.8199	1.0	1.0	0.999999	4297	0	-3.8199
CPSF6ZCCHC8	9	3.5101e-10	1.147e-06	8.7e-05	21	9	-3.6585	1.0	1.0	0.999999	4296	0	-3.6585
controlEXOSC7	72	3.5154e-10	1.147e-06	8.7e-05	22	24	0.44298	0.00074795	0.011111	0.062361	725	46	0.44298
FIP1L1EXOSC8	9	5.6217e-10	1.147e-06	8.7e-05	23	9	-2.4743	1.0	1.0	0.999999	4254	0	-2.4743
SRSF11control	72	1.3647e-09	1.147e-06	8.7e-05	24	51	-1.3037	1.0	1.0	0.999999	4293	11	-1.3037
FIP1L1ZCCHC8	9	1.38e-09	1.147e-06	8.7e-05	25	9	-2.3945	1.0	1.0	0.999999	4294	0	-2.3945
CPSF2control	72	1.4297e-09	1.147e-06	8.7e-05	26	58	-1.3238	1.0	1.0	0.999999	4302	6	-1.3238
CPSF6C17orf85	9	1.8904e-09	1.147e-06	8.7e-05	27	9	-3.9973	1.0	1.0	0.999999	4295	0	-3.9973
FIP1L1THOC2	9	2.1237e-09	1.147e-06	8.7e-05	28	9	-2.3569	1.0	1.0	0.999999	4250	0	-2.3569
controlSMG1	72	2.5835e-09	1.147e-06	8.7e-05	29	52	-1.8043	1.0	1.0	0.999999	4272	14	-1.8043
CPSF6RBM27	9	2.8601e-09	1.147e-06	8.7e-05	30	9	-2.7925	1.0	1.0	0.999999	4256	0	-2.7925
FIP1L1THOC5	9	1.4828e-08	1.147e-06	8.7e-05	31	9	-2.3083	0.99994	0.99992	0.999999	4136	0	-2.3083
CPSF6EXOSC3	9	1.8799e-08	1.147e-06	8.7e-05	32	9	-3.8191	1.0	1.0	0.999999	4288	0	-3.8191
CPSF6PAF1	9	2.3644e-08	1.147e-06	8.7e-05	33	9	-3.5992	1.0	1.0	0.999999	4292	0	-3.5992
AQRcontrol	72	2.5126e-08	1.147e-06	8.7e-05	34	48	-1.8181	0.98233	0.99988	0.999999	2985	23	-1.8181
FIP1L1C17orf85	9	3.2017e-08	1.147e-06	8.7e-05	35	9	-2.3375	1.0	1.0	0.999999	4284	0	-2.3375
CPSF6BRCA2	9	3.8366e-08	1.147e-06	8.7e-05	36	9	-3.5302	1.0	1.0	0.999999	4283	0	-3.5302
RNGTTEXOSC9	9	3.8592e-08	1.147e-06	8.7e-05	37	6	-0.58561	0.60089	0.83705	0.999999	2080	2	-0.58561
CPSF6ZC3H3	9	4.0959e-08	1.147e-06	8.7e-05	38	9	-2.9871	1.0	1.0	0.999999	4290	0	-2.9871
CPSF6ZC3H18	9	4.3104e-08	1.147e-06	8.7e-05	39	9	-2.5524	1.0	1.0	0.999999	4289	0	-2.5524
