id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
controlNCBP1	72	2.0146e-30	1.147e-06	0.000177	1	50	-0.78769	0.069185	0.36704	0.999999	1064	13	-0.78769
NCBP1control	72	1.1603e-23	1.147e-06	0.000177	2	51	-0.63953	0.40099	0.86183	0.999999	2242	10	-0.63953
HNRNPH1control	72	6.1081e-23	1.147e-06	0.000177	3	65	-0.56675	1.0	1.0	0.999999	4316	0	-0.56675
SMN1control	72	1.1864e-14	1.147e-06	0.000177	4	57	-0.28853	0.99605	0.99998	0.999999	3975	4	-0.28853
CNOT7control	72	1.7182e-13	1.147e-06	0.000177	5	55	-0.37159	0.98592	0.99986	0.999999	3781	6	-0.37159
controlHNRNPA1	72	3.672e-13	1.147e-06	0.000177	6	52	-0.51126	0.99978	1.0	0.999999	4201	9	-0.51126
controlPABPN1	72	5.4699e-12	1.147e-06	0.000177	7	52	-0.7406	0.49942	0.91466	0.999999	2508	12	-0.7406
NUDT21control	72	2.8117e-11	1.147e-06	0.000177	8	53	-0.33059	1.0	1.0	0.999999	4315	2	-0.33059
PAPOLAcontrol	72	1.9972e-10	1.147e-06	0.000177	9	52	-0.2863	1.0	1.0	0.999999	4310	4	-0.2863
NCBP1SKIV2L2	9	5.2469e-10	1.147e-06	0.000177	10	8	-1.0041	0.97801	0.98126	0.999999	3701	1	-1.0041
C17orf85NCBP1	9	5.2951e-10	1.147e-06	0.000177	11	7	-1.0371	0.8265	0.92337	0.999999	3182	1	-1.0371
CNOT7HNRNPC	9	3.6529e-09	1.147e-06	0.000177	12	9	-0.87184	1.0	1.0	0.999999	4314	0	-0.87184
NUDT21SMG1	9	6.0705e-09	1.147e-06	0.000177	13	9	-0.79721	1.0	1.0	0.999999	4313	0	-0.79721
CNOT7NCBP1	9	6.2094e-09	1.147e-06	0.000177	14	9	-1.0933	0.99997	0.99997	0.999999	4261	0	-1.0933
